Djibouti,4.369,0.44025,0.59207
Armenia,4.35,0.76821,0.77711
Botswana,4.332,0.99355,1.10464
Myanmar,4.307,0.27108,0.70905
Georgia,4.297,0.7419,0.38562
Malawi,4.292,0.01604,0.41134
Sri Lanka,4.271,0.83524,1.01905
Cameroon,4.252,0.4225,0.88767
Bulgaria,4.218,1.01216,1.10614
Egypt,4.194,0.8818,0.747
Yemen,4.077,0.54649,0.68093
Angola,4.033,0.75778,0.8604
Mali,3.995,0.26074,1.03526
Congo (Brazzaville),3.989,0.67866,0.6629
Comoros,3.956,0.23906,0.79273
Uganda,3.931,0.21102,1.13299
Senegal,3.904,0.36498,0.97619
Gabon,3.896,1.06024,0.90528
Niger,3.845,0.0694,0.77265
Cambodia,3.819,0.46038,0.62736
Tanzania,3.781,0.2852,1.00268
Madagascar,3.681,0.20824,0.66801
Central African Republic,3.678,0.0785,0.0
Chad,3.667,0.34193,0.76062
Guinea,3.656,0.17417,0.46475
Ivory Coast,3.655,0.46534,0.77115
Burkina Faso,3.587,0.25812,0.85188
Afghanistan,3.575,0.31982,0.30285
Rwanda,3.465,0.22208,0.7737
Benin,3.34,0.28665,0.35386
Syria,3.006,0.6632,0.47489
Burundi,2.905,0.0153,0.41587
Togo,2.839,0.20868,0.13995
